Step, Total affected keys, Total marked keys, Relinearize keys, Relinearize affected keys, New factors affected keys, Depth
438, 183, 52, 9, 51, 5, 51
439, 103, 39, 6, 34, 5, 51
440, 85, 9, 2, 7, 5, 51
441, 162, 71, 15, 69, 5, 51
442, 234, 108, 31, 106, 5, 51
443, 300, 184, 57, 183, 5, 51
444, 257, 133, 33, 132, 5, 51
445, 126, 27, 3, 24, 5, 51
446, 160, 42, 7, 37, 5, 51
447, 300, 181, 49, 179, 5, 51
448, 292, 216, 57, 215, 5, 51
449, 261, 122, 20, 121, 5, 51
450, 121, 23, 4, 21, 5, 51
451, 275, 158, 50, 157, 5, 51
452, 271, 105, 19, 103, 5, 51
453, 157, 52, 8, 50, 5, 51
454, 203, 61, 10, 59, 5, 51
455, 157, 23, 4, 21, 5, 51
456, 97, 16, 2, 14, 5, 51
457, 134, 22, 3, 20, 5, 51
458, 213, 77, 18, 75, 5, 51
459, 222, 76, 10, 71, 5, 51
460, 339, 248, 114, 247, 5, 51
461, 150, 17, 2, 12, 5, 51
462, 207, 72, 16, 71, 5, 51
463, 132, 20, 3, 18, 5, 51
464, 202, 75, 16, 74, 5, 51
465, 281, 163, 47, 162, 5, 51
466, 225, 161, 46, 160, 5, 51
467, 257, 195, 93, 192, 5, 51
468, 318, 218, 57, 217, 5, 51
469, 204, 75, 12, 74, 5, 51
470, 59, 9, 2, 7, 5, 51
471, 142, 25, 4, 20, 5, 51
472, 181, 42, 7, 40, 5, 51
473, 172, 28, 5, 26, 5, 51
474, 264, 129, 40, 128, 5, 51
475, 277, 168, 45, 167, 5, 51
476, 172, 72, 16, 71, 5, 51
477, 263, 161, 56, 160, 5, 51
478, 296, 173, 58, 172, 5, 51
479, 268, 124, 28, 123, 5, 51
480, 276, 205, 79, 204, 5, 51
481, 314, 247, 86, 246, 5, 51
482, 268, 191, 56, 190, 5, 51
483, 41, 10, 2, 9, 5, 51
484, 186, 77, 15, 76, 5, 51
485, 43, 7, 1, 5, 5, 51
486, 100, 21, 5, 19, 5, 51
487, 176, 91, 27, 90, 5, 51
488, 106, 41, 8, 40, 5, 51
489, 245, 112, 30, 111, 5, 51
490, 270, 159, 57, 158, 5, 51
491, 328, 226, 80, 225, 5, 51
492, 360, 237, 75, 236, 5, 51
493, 358, 247, 80, 245, 5, 51
494, 421, 355, 188, 353, 5, 51
495, 95, 30, 6, 28, 5, 51
496, 222, 118, 23, 116, 5, 51
497, 253, 117, 25, 115, 5, 51
498, 134, 52, 8, 49, 5, 51
499, 272, 104, 20, 102, 5, 51
500, 244, 142, 25, 141, 5, 51
501, 280, 92, 25, 87, 5, 51
502, 153, 38, 9, 36, 5, 51
503, 80, 5, 0, 0, 5, 51
504, 136, 18, 2, 15, 5, 51
505, 196, 44, 11, 42, 5, 51
506, 277, 111, 36, 110, 5, 51
507, 383, 283, 107, 282, 5, 51
508, 268, 99, 22, 97, 5, 51
509, 314, 140, 25, 138, 5, 51
510, 139, 37, 6, 35, 5, 51
511, 131, 16, 4, 14, 5, 51
512, 134, 27, 4, 25, 5, 51
513, 109, 7, 1, 5, 5, 51
514, 85, 5, 0, 0, 5, 51
515, 137, 34, 11, 33, 5, 51
516, 73, 5, 0, 0, 5, 51
517, 94, 18, 4, 16, 5, 51
518, 76, 15, 4, 14, 5, 51
519, 85, 9, 2, 7, 5, 51
520, 154, 45, 15, 44, 5, 51
521, 239, 105, 28, 104, 5, 51
522, 82, 5, 0, 0, 5, 51
523, 89, 9, 2, 7, 5, 51
524, 81, 7, 1, 5, 5, 51
525, 47, 23, 7, 22, 5, 51
526, 113, 13, 2, 11, 5, 51
527, 156, 28, 3, 24, 5, 51
528, 298, 149, 39, 148, 5, 51
529, 161, 79, 15, 78, 5, 51
530, 218, 67, 18, 66, 5, 51
531, 198, 55, 11, 54, 5, 51
532, 104, 16, 2, 11, 5, 51
533, 103, 7, 1, 5, 5, 51
534, 282, 125, 30, 124, 5, 51
535, 216, 93, 16, 92, 5, 51
536, 73, 11, 2, 10, 5, 51
537, 288, 134, 25, 132, 5, 51
538, 103, 21, 4, 19, 5, 51
539, 94, 11, 1, 6, 5, 51
540, 38, 7, 1, 5, 5, 51
541, 158, 22, 3, 17, 5, 51
542, 48, 7, 1, 5, 5, 51
543, 117, 5, 0, 0, 5, 51
544, 111, 10, 2, 8, 5, 51
545, 136, 16, 2, 14, 5, 51
546, 220, 71, 16, 70, 5, 51
547, 44, 7, 1, 5, 5, 51
548, 264, 106, 33, 104, 5, 51
549, 318, 159, 46, 158, 5, 51
550, 273, 96, 20, 94, 5, 51
551, 309, 156, 33, 155, 5, 51
552, 362, 225, 57, 223, 5, 51
553, 38, 7, 1, 5, 5, 51
554, 137, 44, 12, 42, 5, 51
555, 245, 72, 12, 70, 5, 51
556, 171, 37, 6, 36, 5, 51
557, 62, 8, 1, 7, 5, 51
558, 64, 16, 4, 15, 5, 51
559, 154, 21, 3, 20, 5, 51
560, 230, 65, 14, 64, 5, 51
561, 275, 102, 23, 101, 5, 51
562, 223, 55, 7, 52, 5, 51
563, 282, 124, 27, 123, 5, 51
564, 173, 26, 3, 25, 5, 51
565, 81, 7, 1, 5, 5, 51
566, 166, 22, 3, 20, 5, 51
567, 322, 200, 63, 199, 5, 51
568, 126, 13, 2, 8, 5, 51
569, 317, 153, 39, 152, 5, 51
570, 307, 153, 36, 152, 5, 51
571, 332, 149, 32, 148, 5, 51
572, 114, 15, 4, 13, 5, 51
573, 241, 70, 10, 68, 5, 51
574, 253, 86, 19, 85, 5, 51
575, 82, 5, 0, 0, 5, 51
576, 81, 18, 2, 15, 5, 51
577, 292, 126, 33, 125, 5, 51
578, 302, 123, 27, 122, 5, 51
579, 214, 70, 12, 69, 5, 51
580, 216, 87, 15, 84, 5, 51
581, 265, 147, 47, 146, 5, 51
582, 92, 9, 2, 7, 5, 51
583, 90, 7, 1, 5, 5, 51
584, 84, 7, 1, 5, 5, 51
585, 147, 61, 16, 60, 5, 51
586, 259, 62, 8, 60, 5, 51
587, 287, 105, 15, 100, 5, 51
588, 255, 81, 12, 80, 5, 51
589, 348, 187, 36, 186, 5, 51
590, 389, 228, 48, 227, 5, 51
591, 155, 62, 11, 60, 5, 51
592, 78, 7, 1, 5, 5, 51
593, 80, 5, 0, 0, 5, 51
594, 253, 72, 12, 71, 5, 51
595, 137, 13, 2, 11, 5, 51
596, 301, 117, 30, 115, 5, 51
597, 353, 189, 50, 187, 5, 51
598, 191, 41, 6, 40, 5, 51
599, 109, 7, 1, 5, 5, 51
600, 144, 40, 6, 38, 5, 51
601, 66, 7, 1, 5, 5, 51
602, 67, 7, 1, 5, 5, 51
603, 139, 18, 3, 16, 5, 51
604, 170, 31, 5, 29, 5, 51
605, 78, 16, 2, 14, 5, 51
606, 224, 63, 12, 59, 5, 51
607, 81, 5, 0, 0, 5, 51
608, 152, 13, 2, 11, 5, 51
609, 51, 5, 0, 0, 5, 51
610, 170, 45, 11, 43, 5, 51
611, 185, 63, 9, 58, 5, 51
612, 60, 5, 0, 0, 5, 51
613, 197, 31, 4, 29, 5, 51
614, 134, 7, 1, 5, 5, 51
615, 207, 48, 9, 46, 5, 51
616, 114, 13, 2, 11, 5, 51
617, 246, 92, 17, 91, 5, 51
618, 390, 220, 79, 219, 5, 51
619, 156, 16, 2, 14, 5, 51
620, 168, 30, 4, 25, 5, 51
621, 159, 29, 4, 28, 5, 51
622, 149, 22, 3, 20, 5, 51
623, 246, 75, 11, 74, 5, 51
624, 259, 94, 15, 92, 5, 51
625, 368, 169, 24, 164, 5, 51
626, 374, 208, 63, 207, 5, 51
627, 140, 16, 2, 14, 5, 51
628, 95, 5, 0, 0, 5, 51
629, 244, 51, 7, 49, 5, 51
630, 94, 7, 1, 5, 5, 51
631, 56, 7, 1, 5, 5, 51
