Step, Total affected keys, Total marked keys, Relinearize keys, Relinearize affected keys, New factors affected keys, Depth
530, 2, 2, 0, 0, 2, 1
531, 2, 2, 0, 0, 2, 1
532, 2, 2, 0, 0, 2, 1
533, 2, 2, 0, 0, 2, 1
534, 2, 2, 0, 0, 2, 1
535, 2, 2, 0, 0, 2, 1
536, 2, 2, 0, 0, 2, 1
537, 2, 2, 0, 0, 2, 1
538, 2, 2, 0, 0, 2, 1
539, 20, 3, 0, 0, 3, 19
540, 22, 21, 16, 18, 5, 21
541, 5, 3, 0, 0, 3, 21
542, 2, 2, 0, 0, 2, 1
543, 2, 2, 0, 0, 2, 1
544, 85, 3, 0, 0, 3, 379
545, 108, 15, 2, 10, 5, 381
546, 5, 3, 0, 0, 3, 381
547, 2, 2, 0, 0, 2, 1
548, 2, 2, 0, 0, 2, 1
549, 2, 2, 0, 0, 2, 1
550, 2, 2, 0, 0, 2, 1
551, 2, 2, 0, 0, 2, 1
552, 2, 2, 0, 0, 2, 1
553, 2, 2, 0, 0, 2, 1
554, 71, 3, 0, 0, 3, 19
555, 70, 9, 4, 6, 5, 21
556, 78, 17, 12, 16, 3, 21
557, 2, 2, 0, 0, 2, 1
558, 2, 2, 0, 0, 2, 1
559, 2, 2, 0, 0, 2, 1
560, 2, 2, 0, 0, 2, 1
561, 2, 2, 0, 0, 2, 1
562, 2, 2, 0, 0, 2, 1
563, 2, 2, 0, 0, 2, 1
564, 2, 2, 0, 0, 2, 1
565, 2, 2, 0, 0, 2, 1
566, 2, 2, 0, 0, 2, 1
567, 2, 2, 0, 0, 2, 1
568, 2, 2, 0, 0, 2, 1
569, 2, 2, 0, 0, 2, 1
570, 2, 2, 0, 0, 2, 1
571, 2, 2, 0, 0, 2, 1
572, 2, 2, 0, 0, 2, 1
573, 2, 2, 0, 0, 2, 1
574, 2, 2, 0, 0, 2, 1
575, 2, 2, 0, 0, 2, 1
576, 2, 2, 0, 0, 2, 1
577, 2, 2, 0, 0, 2, 1
578, 2, 2, 0, 0, 2, 1
579, 2, 2, 0, 0, 2, 1
580, 2, 2, 0, 0, 2, 1
581, 2, 2, 0, 0, 2, 1
582, 2, 2, 0, 0, 2, 1
583, 2, 2, 0, 0, 2, 1
584, 2, 2, 0, 0, 2, 1
585, 3, 2, 0, 0, 2, 1
586, 2, 2, 0, 0, 2, 1
587, 2, 2, 0, 0, 2, 1
588, 2, 2, 0, 0, 2, 1
589, 2, 2, 0, 0, 2, 1
590, 2, 2, 0, 0, 2, 1
591, 2, 2, 0, 0, 2, 1
592, 2, 2, 0, 0, 2, 1
593, 2, 2, 0, 0, 2, 1
594, 2, 2, 0, 0, 2, 1
595, 2, 2, 0, 0, 2, 1
596, 2, 2, 0, 0, 2, 1
597, 2, 2, 0, 0, 2, 1
598, 2, 2, 0, 0, 2, 1
599, 2, 2, 0, 0, 2, 1
600, 2, 2, 0, 0, 2, 1
601, 2, 2, 0, 0, 2, 1
602, 2, 2, 0, 0, 2, 1
603, 2, 2, 0, 0, 2, 1
604, 2, 2, 0, 0, 2, 1
605, 2, 2, 0, 0, 2, 1
606, 2, 2, 0, 0, 2, 1
607, 2, 2, 0, 0, 2, 1
608, 2, 2, 0, 0, 2, 1
609, 2, 2, 0, 0, 2, 1
610, 2, 2, 0, 0, 2, 1
611, 2, 2, 0, 0, 2, 1
612, 2, 2, 0, 0, 2, 1
613, 2, 2, 0, 0, 2, 1
614, 2, 2, 0, 0, 2, 1
615, 3, 2, 0, 0, 2, 1
616, 2, 2, 0, 0, 2, 1
617, 2, 2, 0, 0, 2, 1
618, 2, 2, 0, 0, 2, 1
619, 2, 2, 0, 0, 2, 1
620, 2, 2, 0, 0, 2, 1
621, 2, 2, 0, 0, 2, 1
622, 2, 2, 0, 0, 2, 1
623, 2, 2, 0, 0, 2, 1
624, 2, 2, 0, 0, 2, 1
625, 2, 2, 0, 0, 2, 1
626, 2, 2, 0, 0, 2, 1
627, 2, 2, 0, 0, 2, 1
628, 2, 2, 0, 0, 2, 1
629, 2, 2, 0, 0, 2, 1
630, 2, 2, 0, 0, 2, 1
631, 2, 2, 0, 0, 2, 1
632, 2, 2, 0, 0, 2, 1
633, 2, 2, 0, 0, 2, 1
634, 2, 2, 0, 0, 2, 1
635, 2, 2, 0, 0, 2, 1
636, 2, 2, 0, 0, 2, 1
637, 2, 2, 0, 0, 2, 1
638, 2, 2, 0, 0, 2, 1
639, 2, 2, 0, 0, 2, 1
640, 2, 2, 0, 0, 2, 1
641, 2, 2, 0, 0, 2, 1
642, 2, 2, 0, 0, 2, 1
643, 2, 2, 0, 0, 2, 1
644, 20, 3, 0, 0, 3, 19
645, 22, 13, 8, 10, 5, 21
646, 22, 20, 13, 15, 5, 21
647, 23, 14, 7, 9, 5, 21
648, 23, 5, 0, 0, 5, 21
649, 23, 5, 0, 0, 5, 21
650, 24, 7, 1, 5, 5, 21
651, 23, 5, 0, 0, 5, 21
652, 23, 5, 0, 0, 5, 21
653, 23, 5, 0, 0, 5, 21
654, 23, 5, 0, 0, 5, 21
655, 23, 5, 0, 0, 5, 21
656, 28, 13, 2, 11, 5, 21
657, 23, 5, 0, 0, 5, 21
658, 27, 11, 1, 6, 5, 21
659, 23, 5, 0, 0, 5, 21
660, 23, 5, 1, 4, 5, 21
661, 27, 11, 2, 8, 3, 21
662, 26, 8, 1, 6, 2, 1
663, 2, 2, 0, 0, 2, 1
664, 2, 2, 0, 0, 2, 1
665, 2, 2, 0, 0, 2, 1
666, 2, 2, 0, 0, 2, 1
667, 2, 2, 0, 0, 2, 1
668, 2, 2, 0, 0, 2, 1
669, 2, 2, 0, 0, 2, 1
670, 2, 2, 0, 0, 2, 1
671, 2, 2, 0, 0, 2, 1
672, 2, 2, 0, 0, 2, 1
673, 2, 2, 0, 0, 2, 1
674, 2, 2, 0, 0, 2, 1
675, 3, 2, 0, 0, 2, 1
676, 2, 2, 0, 0, 2, 1
677, 2, 2, 0, 0, 2, 1
678, 2, 2, 0, 0, 2, 1
679, 2, 2, 0, 0, 2, 1
680, 2, 2, 0, 0, 2, 1
681, 2, 2, 0, 0, 2, 1
682, 2, 2, 0, 0, 2, 1
683, 2, 2, 0, 0, 2, 1
684, 2, 2, 0, 0, 2, 1
685, 2, 2, 0, 0, 2, 1
686, 2, 2, 0, 0, 2, 1
687, 2, 2, 0, 0, 2, 1
688, 2, 2, 0, 0, 2, 1
689, 2, 2, 0, 0, 2, 1
